Date,temperature,anomoly
5/27/2023 6:00,16.25,0.4647
5/27/2023 12:00,16.634,0.4622
5/27/2023 18:00,16.37,0.4262
5/28/2023 0:00,16.015,0.5495
5/28/2023 6:00,16.393,0.579
5/28/2023 12:00,16.585,0.3863
5/28/2023 18:00,16.305,0.3345
5/29/2023 0:00,15.882,0.3903
5/29/2023 6:00,16.33,0.4907
5/29/2023 12:00,16.631,0.4065
5/29/2023 18:00,16.451,0.4561
5/30/2023 0:00,16.045,0.5273
5/30/2023 6:00,16.455,0.5897
5/30/2023 12:00,16.749,0.501
5/30/2023 18:00,16.563,0.5446
5/31/2023 0:00,16.073,0.5339
5/31/2023 6:00,16.504,0.6161
5/31/2023 12:00,16.762,0.4939
5/31/2023 18:00,16.482,0.4384
6/1/2023 0:00,16.004,0.442
6/1/2023 6:00,16.43,0.5197
6/1/2023 12:00,16.764,0.475
6/1/2023 18:00,16.477,0.4105
6/2/2023 0:00,16.002,0.415
6/2/2023 6:00,16.493,0.5598
6/2/2023 12:00,16.795,0.4829
6/2/2023 18:00,16.518,0.4308
6/3/2023 0:00,16.088,0.482
6/3/2023 6:00,16.47,0.5198
6/3/2023 12:00,16.835,0.5034
6/3/2023 18:00,16.661,0.5513
6/4/2023 0:00,16.164,0.5402
6/4/2023 6:00,16.549,0.5855
6/4/2023 12:00,16.855,0.5056
6/4/2023 18:00,16.599,0.4719
6/5/2023 0:00,16.063,0.4229
6/5/2023 6:00,16.512,0.5331
6/5/2023 12:00,16.894,0.5269
6/5/2023 18:00,16.613,0.4684
6/6/2023 0:00,16.145,0.4865
6/6/2023 6:00,16.631,0.6354
6/6/2023 12:00,17.002,0.6179
6/6/2023 18:00,16.747,0.5806
6/7/2023 0:00,16.269,0.5904
6/7/2023 6:00,16.591,0.578
6/7/2023 12:00,17.041,0.6401
6/7/2023 18:00,16.815,0.6256
6/8/2023 0:00,16.371,0.6745
6/8/2023 6:00,16.767,0.7371
6/8/2023 12:00,17.208,0.7878
6/8/2023 18:00,16.941,0.7293
6/9/2023 0:00,16.505,0.7899
6/9/2023 6:00,16.805,0.7598
6/9/2023 12:00,17.177,0.7378
6/9/2023 18:00,16.969,0.741
6/10/2023 0:00,16.53,0.7968
6/10/2023 6:00,16.766,0.7057
6/10/2023 12:00,17.115,0.6609
6/10/2023 18:00,16.814,0.5709
6/11/2023 0:00,16.396,0.6471
6/11/2023 6:00,16.665,0.5913
6/11/2023 12:00,17.082,0.6132
6/11/2023 18:00,16.74,0.4792
6/12/2023 0:00,16.306,0.5404
6/12/2023 6:00,16.69,0.6006
6/12/2023 12:00,16.979,0.4954
6/12/2023 18:00,16.759,0.4836
6/13/2023 0:00,16.25,0.4677
6/13/2023 6:00,16.575,0.4688
6/13/2023 12:00,16.883,0.3838
6/13/2023 18:00,16.694,0.3987
6/14/2023 0:00,16.206,0.4038
6/14/2023 6:00,16.653,0.5309
6/14/2023 12:00,17.002,0.4864
6/14/2023 18:00,16.745,0.431
6/15/2023 0:00,16.281,0.462
6/15/2023 6:00,16.588,0.4522
6/15/2023 12:00,17.007,0.4741
6/15/2023 18:00,16.814,0.4831
6/16/2023 0:00,16.306,0.4713
6/16/2023 6:00,16.689,0.5409
6/16/2023 12:00,17.044,0.4957
6/16/2023 18:00,16.809,0.4627
6/17/2023 0:00,16.267,0.4151
6/17/2023 6:00,16.629,0.4683
6/17/2023 12:00,17.029,0.4698
6/17/2023 18:00,16.733,0.3716
6/18/2023 0:00,16.238,0.3704
6/18/2023 6:00,16.594,0.4219
6/18/2023 12:00,16.998,0.4294
6/18/2023 18:00,16.797,0.4221
6/19/2023 0:00,16.28,0.3992
6/19/2023 6:00,16.608,0.4232
6/19/2023 12:00,16.967,0.386
